treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,code_num_comments,docstring_num_lines,docstring_num_words,docstring_num_sentences
1,1,10,1,0,0,0,1,12,0
0,0,8,1,2,0,0,1,15,1
0,1,50,3,7,7,0,1,8,1
1,1,24,2,2,2,0,1,10,1
1,1,53,5,2,0,0,1,16,1
0,0,71,10,10,2,0,1,35,4
0,0,70,5,21,0,0,1,10,3
1,0,19,4,0,3,0,1,13,1
0,0,15,1,1,0,0,1,5,1
0,1,12,1,3,2,0,1,12,1
0,1,28,3,6,3,0,1,30,1
1,1,17,2,1,3,0,1,8,1
0,0,10,1,0,0,0,1,33,2
0,0,49,4,10,1,0,1,7,0
1,0,40,4,5,5,0,1,5,1
0,1,12,1,1,2,0,1,16,2
0,0,25,3,3,0,0,1,14,1
1,1,32,5,2,0,0,1,8,1
0,0,132,9,14,6,0,1,7,1
1,1,35,3,1,1,0,1,2,0
1,0,9,1,1,0,0,1,6,1
0,0,35,4,2,9,0,1,20,1
1,1,20,2,1,0,0,1,44,4
0,1,50,4,6,6,0,1,5,1
1,0,112,13,6,8,0,1,11,1
0,1,10,1,2,0,0,1,5,0
0,1,17,1,2,0,0,1,10,0
1,0,40,8,0,5,0,1,19,1
0,0,7,1,0,0,0,1,6,0
1,0,13,1,1,1,0,1,10,1
1,0,12,1,2,0,0,1,10,0
0,0,73,8,4,10,0,1,6,1
0,1,8,1,1,1,0,1,6,1
0,1,15,2,2,0,0,1,42,2
1,0,44,9,2,0,0,1,10,1
0,1,13,3,0,1,0,1,17,0
0,0,35,5,3,5,0,1,15,3
0,0,14,1,2,3,0,1,10,0
0,0,59,3,7,8,0,1,20,1
1,1,99,8,6,3,0,1,2,0
1,1,120,20,3,19,0,1,12,0
1,0,20,2,4,1,0,1,9,1
0,1,23,1,1,12,0,1,38,3
0,0,45,1,7,2,0,1,9,1
1,1,15,3,0,0,0,1,13,1
1,0,14,2,2,1,0,1,18,1
1,1,76,4,12,6,0,1,11,1
0,1,33,2,5,2,0,1,8,1
0,1,6,1,1,0,0,1,29,2
1,1,64,7,6,1,0,1,6,1
1,1,47,7,3,4,0,1,26,3
0,1,25,2,1,5,0,1,9,0
1,0,46,2,9,2,0,1,16,2
1,0,18,2,2,0,0,1,9,1
1,0,15,1,0,0,0,1,8,1
0,0,106,5,4,7,0,1,19,4
0,1,5,1,1,0,0,1,10,2
0,1,11,1,0,1,0,1,4,1
0,1,10,1,1,0,0,1,59,3
1,1,55,7,2,4,0,1,8,0
1,1,22,2,1,2,0,1,2,0
0,1,38,1,7,9,0,1,4,0
0,1,17,3,2,3,0,1,29,2
1,1,36,3,5,7,0,1,10,1
0,0,33,3,2,0,0,1,42,5
0,0,6,1,0,0,0,1,9,1
1,1,25,3,1,3,0,1,7,0
0,0,27,3,2,0,0,1,37,3
1,1,40,4,4,2,0,1,5,1
0,0,10,1,1,0,0,1,19,2
0,0,9,1,1,0,0,1,10,0
1,0,71,9,5,11,0,1,6,1
1,1,16,2,1,0,0,1,38,2
0,0,34,3,6,0,0,1,8,0
1,1,53,5,5,8,0,1,5,1
1,0,40,4,2,4,0,1,8,1
1,1,29,5,3,1,0,1,2,0
1,0,20,2,2,3,0,1,16,3
0,1,12,1,1,1,0,1,13,1
1,1,32,4,2,0,0,1,10,1
1,1,14,1,1,3,0,1,16,0
0,0,22,3,3,1,0,1,11,1
0,1,46,5,2,4,0,1,10,1
0,1,19,1,3,0,0,1,9,1
0,0,15,1,1,1,0,1,8,1
0,0,13,1,4,0,0,1,11,1
1,1,6,1,1,1,0,1,8,0
